"","abortion","age","aid.blacks","aid.blacksCD","aid.blacksCR","aid.blacksD","aid.blacksR","anger.dem","anger.rep","auth.1","auth.2","auth.3","auth.4","bible","black","catholic","church","college","defense.spendingCD","defense.spendingCR","defense.spendingD","defense.spendingR","dem.afraid","dem.angry","dem.cares","dem.decent","dem.hope","dem.know","dem.leader","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5","efficacy6","efficacy7","egal1","egal2","egal3","egal4","fear.dem","fear.rep","feel.asian","feel.black","feel.latino","feeling.dem","feeling.demc","feeling.rep","feeling.repc","female","feminists.therm","fundamental.therm","gay.therm","gays.adoption","gays.military","gov.services","gov.servicesCD","gov.servicesCR","gov.servicesD","gov.servicesR","hispanic","hope.dem","hope.rep","ideology","ideologyCD","ideologyCR","ideologyD","ideologyR","immigrants","income","interest.elections","interest.politics","jewish","jobs","jobsCD","jobsCR","jobsD","jobsR","know.interview.post","know.interview.pre","media","mode","moral1","moral2","moral3","moral4","nonwhite","other","other.race","p1","p2","p3","p4","p5","pid","primary","protect.gays","proud.dem","proud.rep","public.insurance","public.insuranceCD","public.insuranceCR","rep.afraid","rep.angry","rep.cares","rep.decent","rep.hope","rep.know","rep.leader","rid","rr1","rr2","rr3","rr4","split.house","split.senate","union.therm","vote","vote.house","vote.senate","voted","weights.all","weights.ftf","weights.web","white","women.role","women.roleCD","women.roleCR","year","rid2","group","racial.resentment","authoritarianism","efficacy","knowledge","dem_traits","rep_traits","dem_anxiety","rep_anxiety","participation"
"6512",3,0.15,7,NA,NA,NA,NA,0,0,2,2,2,2,3,0,0,0,0,NA,NA,4,4,1,1,NA,NA,1,NA,NA,1,2,1,1,2,2,1,2,3,3,1,0,0,50,50,50,0,50,50,97,0,0,60,0,1,1,NA,NA,NA,4,4,0,0,0,NA,NA,NA,NA,NA,3,0,1,0,0,NA,4,4,NA,NA,1,1,1,"FTF",4,3,1,3,0,0,0,0,0,0,0,0,0.5,0,1,0,0,NA,NA,NA,1,1,1,NA,1,3,3,2242,4,4,5,NA,NA,NA,60,NA,NA,NA,0,1.0263,1.0263,1.0263,1,4,NA,NA,1992,6512,1,0.833333333333333,1,1.5,0,NA,0.555555555555556,0,0,0
"6514",NA,0.65,4,3,2,NA,NA,1,0,2,2,1,1,2,0,0,0,0,2,5,NA,NA,1,2,3,NA,1,2,2,2,NA,2,NA,3,NA,NA,1,4,3,2,0,0,NA,85,70,60,30,60,85,1,60,60,70,0,0,1,6,1,NA,NA,0,0,1,0.5,NA,4,NA,NA,NA,1,2,1,0,4,1,6,NA,NA,3,3,1,"FTF",1,5,2,3,0,0,0,0,0,0,0,0,0.5,NA,0,0,1,NA,NA,NA,1,1,3,NA,2,4,3,2242,4,3,3,NA,"RP-RC","RP-RS",60,1,1,1,1,1.9704,1.9704,1.9704,1,1,7,1,2008,6514,1,0.583333333333333,0.5,2.33333333333333,0.5,0.555555555555556,0.222222222222222,0.5,0,0
"6517",1,0.425,6,4,4,NA,NA,0,0,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,1,1,4,NA,2,3,3,3,3,1,1,2,3,2,1,3,3,3,0,0,NA,NA,NA,50,60,50,60,1,97,97,97,0,0,4,NA,NA,NA,NA,0,1,1,0.5,3,5,4,4,3,1,NA,0,0,7,4,4,NA,NA,3,2,1,"FTF",1,3,1,1,0,1,0,0,0,0,0,0,0.5,NA,0,1,1,5,NA,NA,1,1,4,NA,2,3,3,2243,3,3,3,NA,NA,NA,97,NA,NA,NA,0,2.0974,2.0974,2.0974,1,1,4,4,2008,6517,1,0.5,0,2.33333333333333,0.375,0.222222222222222,0.222222222222222,0,0,0
"6520",2,0.525,6,1,5,NA,NA,1,0,2,2,2,2,3,0,0,0,0,3,6,NA,NA,2,2,2,NA,1,3,3,3,NA,1,2,3,NA,NA,1,5,4,3,1,0,70,70,50,15,0,85,85,0,50,70,NA,1,1,4,1,4,NA,NA,0,0,1,0.333333333333333,4,2,6,2,3,1,2,1,0,5,2,5,NA,NA,4,4,1,"FTF",1,5,3,4,0,0,0,0,0,1,0,1,1,NA,NA,0,1,6,1,5,1,1,3,NA,2,3,4,2244,5,5,5,NA,"RP-RC","RP-RS",0,1,1,1,1,2.1644,2.1644,2.1644,1,1,4,2,2008,6520,1,1,1,2.33333333333333,0.75,0.444444444444445,0.222222222222222,1,0,2
"6521",2,0.5875,3,NA,NA,NA,NA,0,0,1,2,1,1,3,0,0,1,1,4,6,4,7,1,1,3,NA,2,3,3,3,1,1,1,2,1,3,2,2,4,2,0,0,70,85,85,60,60,50,60,0,60,97,0,1,1,4,2,3,2,4,0,1,1,0.666666666666667,4,6,4,5,4,0,2,1,0,5,7,5,6,5,4,4,1,"FTF",5,5,2,4,0,0,0,0,0,0,0,0,0.666666666666667,0,NA,0,1,5,NA,NA,1,1,3,NA,2,3,4,2245,4,3,4,NA,"DP-RC","DP-DS",97,0,1,0,1,0.9237,0.9237,0.9237,1,5,NA,NA,1992,6521,1,0.666666666666667,0.25,1.83333333333333,0.75,0.333333333333333,0.222222222222222,0,0,0
"6523",NA,0.5125,7,1,7,NA,NA,0,0,2,2,2,2,1,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,2,NA,1,1,NA,NA,NA,1,5,1,1,0,0,0,60,0,97,97,0,1,1,70,85,0,1,1,NA,NA,NA,NA,NA,0,0,0,NA,7,NA,7,4,5,0,NA,1,0,NA,NA,NA,NA,NA,2,3,NA,"FTF",1,5,1,5,0,0,0,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,1,1,NA,NA,1,NA,NA,2245,5,2,2,NA,"DP-DC","DP-DS",60,0,0,0,1,1.0822,1.0822,1.0822,1,NA,NA,NA,2008,6523,1,0.5,1,1.5,0.375,NA,NA,0,0,1
"6524",1,0.5,4,NA,NA,NA,NA,0,0,2,2,2,1,NA,0,0,0,0,3,6,4,4,1,1,3,NA,2,3,3,3,1,1,1,2,2,1,1,4,1,2,0,1,50,50,50,40,85,60,60,1,50,50,50,1,0,5,3,4,4,4,0,1,1,0.833333333333333,4,5,4,5,5,0,2,1,0,4,4,4,4,4,NA,3,1,"FTF",4,5,4,5,0,1,0,0,0,0,0,1,0.833333333333333,0,NA,0,1,2,NA,NA,2,1,2,NA,2,3,3,2246,3,1,2,NA,NA,NA,50,NA,0,1,1,1.25,1.25,1.25,1,1,NA,NA,1992,6524,1,0.25,0.75,1.66666666666667,0.5,0.333333333333333,0.444444444444445,0,0.5,1
"6526",3,0.3875,6,4,4,NA,NA,0,0,1,2,1,1,3,0,0,0,0,5,7,NA,NA,1,1,NA,NA,2,NA,NA,3,1,2,1,2,1,3,1,4,3,1,0,0,50,50,50,50,60,50,40,0,50,50,50,0,0,5,4,6,NA,NA,0,1,0,NA,4,5,4,5,4,0,2,1,0,5,4,7,NA,NA,4,5,1,"FTF",2,4,3,2,0,0,0,0,0,1,0,1,0.5,NA,0,0,0,NA,4,7,1,1,NA,NA,1,NA,NA,2246,4,5,5,NA,NA,"DP-DS",30,0,NA,0,1,2.3272,2.3272,2.3272,1,3,4,2,2008,6526,1,0.916666666666667,0.25,2,0.875,NA,NA,0,0,2
"6527",1,0.175,6,NA,NA,NA,NA,1,0,1,2,1,1,2,0,0,0,0,3,5,3,5,1,2,2,NA,1,2,2,3,1,1,1,2,3,3,4,2,3,1,0,0,50,50,50,30,60,60,60,0,70,50,40,1,0,6,2,5,2,5,0,0,0,0.833333333333333,2,6,2,6,5,1,2,0,0,7,2,5,3,5,NA,3,1,"FTF",2,3,2,2,0,1,0,0,0,0,0,0,0.833333333333333,0,NA,0,1,3,NA,NA,1,1,2,NA,1,3,2,2247,4,2,4,NA,"RP-RC","RP-DS",60,1,1,0,1,0.9872,0.9872,0.9872,1,2,NA,NA,1992,6527,1,0.583333333333333,0.25,2.16666666666667,0.5,0.666666666666667,0.555555555555556,0.5,0,0
"6530",3,0.325,4,NA,NA,NA,NA,0,1,1,1,1,2,3,0,0,0,0,4,4,3,6,1,1,3,NA,2,3,NA,2,1,1,1,3,3,1,2,4,2,2,0,1,85,85,85,75,60,40,15,1,70,85,85,1,0,4,5,2,5,2,0,1,0,0.833333333333333,5,2,5,4,5,0,2,1,0,1,4,7,4,5,3,3,1,"FTF",2,4,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,NA,NA,2,2,2,NA,1,3,2,2248,5,4,4,NA,"DP-RC","DP-DS",70,0,1,0,1,1.0313,1.0313,1.0313,1,1,NA,NA,1992,6530,1,0.833333333333333,0.25,1.83333333333333,0.5,0.333333333333333,0.555555555555556,0,1,2
"6532",1,0.3125,7,4,4,NA,NA,1,0,2,2,2,2,NA,0,0,1,1,6,5,NA,NA,2,2,3,NA,2,3,3,3,NA,1,1,2,NA,NA,1,5,3,4,1,1,70,40,60,70,30,60,70,1,70,70,15,1,0,3,2,4,NA,NA,0,1,1,0.833333333333333,2,5,1,6,5,1,2,1,0,7,2,4,NA,NA,5,5,1,"FTF",5,5,5,5,0,0,0,0,0,0,0,0,0.833333333333333,NA,1,1,1,5,NA,NA,2,1,2,NA,2,4,3,2248,5,2,5,NA,NA,"RP-DS",50,1,NA,0,1,1.4297,1.4297,1.4297,1,2,2,2,2008,6532,1,0.75,1,2,1,0.333333333333333,0.333333333333333,1,0.5,0
"6535",NA,0.7125,NA,NA,NA,NA,NA,0,0,2,2,2,2,3,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,2,2,NA,NA,NA,1,3,4,2,0,0,60,85,50,NA,30,NA,50,1,50,50,0,1,1,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,3,0,NA,NA,0,NA,NA,NA,NA,NA,2,3,NA,"FTF",1,4,2,4,0,0,0,0,0,0,0,0,0.166666666666667,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,2,NA,NA,2249,4,3,4,NA,NA,NA,50,NA,NA,NA,0,1.4283,1.4283,1.4283,1,NA,NA,NA,2008,6535,1,0.666666666666667,1,2.5,0.375,NA,NA,0,0,0
"6541",1,0.4625,7,1,4,NA,NA,1,0,NA,NA,NA,NA,2,0,1,0,0,3,5,3,5,1,2,NA,NA,1,NA,NA,3,1,1,1,2,3,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,85,85,1,NA,NA,NA,1,0,4,2,6,1,4,0,0,1,1,1,7,1,7,NA,NA,2,1,0,7,1,4,1,4,NA,4,NA,"FTF",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,0,NA,0,0,7,1,5,1,1,NA,NA,2,NA,NA,225,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1.581,1.581,0,1,NA,NA,NA,2012,6541,1,1,NA,1.83333333333333,0.75,NA,NA,0.5,0,0
"6542",1,0.25,3,NA,NA,NA,NA,0,1,1,1,1,1,2,0,0,0,0,2,4,2,5,1,1,3,NA,1,3,2,2,1,1,1,2,3,3,1,1,2,1,0,1,70,70,60,40,40,40,60,1,70,40,50,0,0,5,2,6,2,6,0,0,0,0.333333333333333,2,5,3,5,3,1,2,1,0,5,3,5,2,6,NA,4,1,"FTF",4,3,2,2,0,0,0,0,0,0,0,1,0.833333333333333,0,0,0,1,6,NA,NA,2,2,2,NA,1,3,2,2250,4,2,2,NA,NA,NA,40,NA,1,NA,1,0.9444,0.9444,0.9444,1,1,NA,NA,1992,6542,1,0.416666666666667,0,2,0.75,0.444444444444445,0.555555555555556,0,1,1
"6545",1,0.3625,6,NA,NA,NA,NA,0,0,1,2,2,1,2,0,1,0,0,3,3,3,3,1,1,3,NA,2,4,3,2,3,1,1,2,3,3,3,4,4,2,0,0,60,40,60,70,70,70,40,0,60,50,0,1,1,5,4,3,4,3,0,1,1,0.5,4,4,4,4,4,1,2,1,0,6,4,3,4,3,NA,4,1,"FTF",2,5,2,4,0,0,0,1,0,0,0,1,0.5,1,NA,0,1,5,NA,NA,1,1,2,NA,2,4,2,2251,5,2,4,NA,"DP-DC","DP-RS",60,0,0,1,1,0.9237,0.9237,0.9237,1,4,NA,NA,1992,6545,1,0.666666666666667,0.5,2.33333333333333,0.75,0.222222222222222,0.444444444444445,0,0,2
"6548",2,0.375,7,NA,NA,NA,NA,1,0,1,1,2,2,1,0,0,0,1,1,3,2,4,2,2,1,NA,1,1,3,2,1,1,1,2,2,3,5,5,3,5,1,0,85,30,30,15,0,85,70,0,0,70,0,1,1,6,1,5,1,5,0,0,1,0.833333333333333,2,5,2,5,5,1,2,1,0,5,2,6,1,6,NA,5,1,"FTF",5,5,5,5,0,0,0,0,0,1,0,0,1,1,1,0,1,7,NA,NA,1,1,3,NA,2,3,2,2252,5,5,5,NA,"RP-RC","RP-RS",15,1,1,1,1,1.0313,1.0313,1.0313,1,3,NA,NA,1992,6548,1,1,0.5,1.83333333333333,1,0.777777777777778,0.444444444444445,1,0,1
"6550",NA,0.375,NA,6,4,NA,NA,0,0,1,2,2,2,2,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,2,2,NA,NA,NA,1,4,4,1,0,0,50,50,40,60,85,70,50,0,50,50,50,1,0,NA,NA,NA,NA,NA,0,0,0,0.5,7,2,3,3,4,0,NA,1,0,NA,NA,NA,NA,NA,3,3,NA,"FTF",1,5,2,4,0,1,0,0,0,0,0,0,0.5,NA,1,0,0,NA,NA,NA,1,1,NA,NA,1,NA,NA,2252,5,2,2,NA,NA,NA,85,NA,NA,NA,0,0.5752,0.5752,0.5752,1,NA,NA,NA,2008,6550,1,0.5,0.75,2.5,0.5,NA,NA,0,0,0
"6553",NA,0.9,7,NA,NA,NA,NA,1,0,2,2,2,2,3,0,0,1,0,NA,NA,NA,NA,2,2,3,NA,NA,2,NA,3,NA,1,1,NA,NA,NA,1,5,5,1,1,0,15,60,15,85,40,60,70,0,NA,70,0,1,1,NA,NA,NA,NA,NA,0,NA,1,NA,1,4,5,NA,5,0,NA,1,0,NA,NA,NA,NA,NA,5,4,NA,"FTF",2,5,1,4,0,0,0,0,0,0,0,0,0.833333333333333,NA,1,0,1,NA,NA,NA,1,1,4,NA,2,3,3,2253,5,1,4,NA,NA,"RP-DS",70,1,NA,0,1,1.4283,1.4283,1.4283,1,NA,NA,NA,2008,6553,1,0.583333333333333,1,2,0.875,0.5,0.222222222222222,1,0,0
"6556",NA,0.5,NA,NA,NA,NA,NA,0,0,2,1,1,1,3,0,0,1,0,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,3,1,2,1,NA,3,1,2,2,1,3,0,0,85,85,75,60,60,30,40,0,70,50,50,0,0,NA,NA,NA,NA,NA,0,1,0,NA,2,6,3,6,3,0,2,NA,0,NA,NA,NA,NA,NA,4,4,NA,"FTF",4,4,3,5,0,0,0,0,0,0,0,0,0.333333333333333,NA,0,1,0,NA,NA,NA,1,1,NA,NA,1,NA,NA,2254,3,4,4,NA,"DP-DC","DP-DS",40,0,0,0,1,1.0487,1.0487,1.0487,1,NA,NA,NA,2008,6556,1,0.666666666666667,0.25,2,0.75,NA,NA,0,0,0
"6559",NA,0.0625,NA,NA,NA,NA,NA,1,0,2,2,2,1,3,0,0,0,0,NA,NA,NA,NA,1,2,2,NA,1,2,2,3,1,1,NA,NA,1,1,1,4,3,1,0,0,50,NA,NA,60,60,60,60,1,50,97,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,2,2,2,2,1,0,1,0,0,NA,NA,NA,NA,NA,2,2,NA,"FTF",2,5,1,4,0,0,0,0,0,0,0,0,0.333333333333333,NA,0,0,0,NA,NA,NA,1,1,2,NA,1,2,2,2255,5,2,3,NA,NA,NA,50,NA,NA,NA,0,3.5495,3.5495,3.5495,1,NA,NA,NA,2008,6559,1,0.583333333333333,0.75,1.4,0.25,0.666666666666667,0.666666666666667,0.5,0,0
"6560",3,0.225,7,NA,NA,NA,NA,1,1,2,2,2,2,3,0,0,1,1,2,5,1,5,1,2,1,NA,1,4,1,2,1,1,1,2,1,1,1,5,4,5,0,0,NA,NA,NA,0,0,85,85,0,0,97,0,1,1,7,1,5,1,6,0,0,1,1,2,6,1,6,4,1,2,1,0,7,1,5,1,6,NA,5,1,"FTF",5,5,5,5,0,0,0,0,0,0,0,1,0.833333333333333,1,1,0,1,7,NA,NA,1,2,4,NA,2,4,4,2256,5,5,5,NA,"RP-DC","RP-RS",0,1,0,1,1,0.9444,0.9444,0.9444,1,5,NA,NA,1992,6560,1,1,1,1.33333333333333,1,0.666666666666667,0,0.5,0.5,1
"6562",NA,0.625,1,NA,4,NA,NA,0,0,2,2,1,1,3,0,0,0,0,NA,NA,NA,NA,2,1,2,NA,1,NA,2,2,1,1,1,NA,2,1,1,4,5,5,1,0,85,85,50,50,50,85,85,1,NA,97,0,1,1,NA,NA,NA,NA,NA,0,0,1,0.833333333333333,2,5,1,6,3,0,NA,1,0,NA,NA,NA,NA,NA,4,4,NA,"FTF",5,5,5,5,0,0,0,0,0,1,0,1,1,NA,NA,0,1,NA,NA,NA,1,1,3,NA,2,4,4,2256,5,4,5,NA,"RP-RC","RP-DS",50,1,1,0,1,2.36,2.36,2.36,1,NA,NA,NA,2008,6562,1,0.916666666666667,0.5,1.4,0.75,0.666666666666667,0.111111111111111,0.5,0,2
"6563",1,0.3125,7,NA,NA,NA,NA,0,1,2,2,2,2,3,0,0,0,0,NA,NA,4,7,1,1,4,NA,2,4,4,1,1,1,1,2,2,NA,1,3,5,1,0,1,50,NA,50,80,85,0,0,0,50,50,50,1,1,4,4,7,2,7,0,1,0,NA,6,3,5,4,3,0,2,1,0,1,1,7,1,7,3,3,1,"FTF",1,3,3,3,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,NA,2,2,1,NA,1,3,3,2257,5,2,2,NA,NA,NA,50,NA,NA,NA,0,1.0189,1.0189,1.0189,1,1,NA,NA,1992,6563,1,0.5,1,1.4,0.5,0,0.555555555555556,0,1,0
"6568",NA,0.5875,NA,7,1,NA,NA,0,0,2,2,2,1,2,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,2,2,1,1,NA,1,1,1,3,2,2,0,0,50,50,50,50,60,50,30,0,50,60,50,0,0,NA,NA,NA,NA,NA,0,1,0,NA,5,5,5,4,4,0,2,1,0,NA,NA,NA,NA,NA,3,4,NA,"FTF",2,4,1,4,0,0,0,0,0,0,0,0,0.166666666666667,NA,0,0,0,NA,NA,NA,1,1,NA,NA,1,NA,NA,2258,4,2,2,NA,NA,"DP-DS",40,0,NA,0,1,2.0333,2.0333,2.0333,1,NA,NA,NA,2008,6568,1,0.416666666666667,0.75,1.4,0.625,NA,NA,0,0,0
"6577",1,0.4375,7,2,NA,NA,NA,1,1,1,2,2,1,2,0,1,0,0,6,NA,6,NA,2,2,NA,NA,1,NA,NA,1,1,1,1,2,1,1,1,3,1,2,1,1,50,50,50,10,0,50,30,1,50,50,50,0,1,4,2,4,5,3,0,0,0,NA,1,3,3,3,5,1,2,1,0,6,7,7,NA,NA,1,2,1,"FTF",3,5,2,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,1,6,2,2,NA,NA,1,NA,NA,226,5,2,4,5,NA,NA,60,NA,NA,NA,0,1.4143,1.4143,0,1,NA,NA,NA,2012,6577,1,0.75,0.5,1.16666666666667,0.125,NA,NA,1,1,0
"6578",3,0.15,7,NA,NA,NA,NA,0,0,2,2,2,2,3,0,0,0,0,4,5,4,4,1,1,2,NA,1,3,3,2,3,1,1,2,3,1,1,4,4,1,0,1,50,50,50,50,40,50,85,1,50,70,0,1,1,7,NA,6,NA,6,0,0,1,0.666666666666667,2,5,4,4,3,0,1,1,0,7,4,4,4,4,NA,3,1,"FTF",5,5,3,5,0,0,0,0,0,0,0,0,0.166666666666667,0,NA,0,1,4,NA,NA,2,1,4,NA,2,4,4,2260,5,4,4,NA,"RP-RC","RP-DS",0,1,1,0,1,0.9872,0.9872,0.9872,1,7,NA,NA,1992,6578,1,0.833333333333333,1,2,0.5,0.444444444444445,0,0,0.5,0
"6580",NA,0.4125,7,1,4,NA,NA,0,1,2,2,2,1,3,0,0,0,1,NA,NA,NA,NA,1,1,2,NA,1,3,2,1,1,1,1,NA,1,3,1,5,3,3,0,0,NA,NA,NA,0,15,50,60,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,0,0,0,0.833333333333333,1,5,2,5,4,1,2,1,0,NA,NA,NA,NA,NA,4,5,NA,"FTF",5,5,5,5,0,0,0,0,0,0,0,0,1,NA,0,0,0,NA,NA,NA,1,2,2,NA,1,3,3,2260,3,5,5,NA,NA,"RP-RS",15,1,NA,1,1,1.4297,1.4297,1.4297,1,NA,NA,NA,2008,6580,1,0.833333333333333,0.75,1.4,0.875,0.555555555555556,0.444444444444445,0,0.5,0
"6581",1,0.8125,7,NA,NA,NA,NA,0,0,1,2,2,2,3,0,1,1,0,4,1,4,1,1,1,3,NA,2,2,3,2,3,2,NA,2,1,1,2,4,4,1,0,0,40,30,NA,85,30,97,97,1,50,NA,0,0,1,7,4,7,4,7,0,1,1,NA,NA,NA,NA,NA,3,0,2,0,0,7,3,7,4,7,NA,3,1,"FTF",4,2,4,4,0,0,0,0,0,0,0,0,1,1,NA,1,1,3,NA,NA,1,1,4,NA,2,3,4,2261,4,4,4,NA,"RP-RC","RP-RS",NA,1,1,1,1,1.2059,1.2059,1.2059,1,4,NA,NA,1992,6581,1,0.75,0.75,1.83333333333333,0.5,0.444444444444445,0.111111111111111,0,0,0
"6583",NA,0.325,7,3,5,NA,NA,0,0,1,2,2,1,2,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,3,NA,1,2,NA,NA,NA,1,5,2,5,0,0,50,50,50,60,70,70,70,1,40,40,50,1,0,NA,NA,NA,NA,NA,0,1,1,0.5,4,6,3,6,4,1,NA,1,0,NA,NA,NA,NA,NA,4,4,NA,"FTF",4,4,2,4,0,0,0,0,0,0,0,0,0.833333333333333,NA,0,0,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,2261,5,5,5,NA,"DP-RC","DP-DS",40,0,1,0,1,1.1636,1.1636,1.1636,1,NA,NA,NA,2008,6583,1,1,0.5,2,0.75,NA,NA,0,0,0
"6587",2,0.725,7,NA,NA,NA,NA,0,0,1,2,2,1,3,0,0,1,0,2,4,4,4,2,1,4,NA,2,3,2,3,2,1,1,2,3,3,1,3,2,3,1,1,85,85,85,70,60,50,70,1,40,50,50,1,1,NA,NA,NA,2,4,0,1,0,0.833333333333333,NA,3,3,6,5,1,2,1,0,5,3,6,5,5,NA,4,1,"FTF",1,4,2,4,0,0,0,0,0,0,0,0,0.166666666666667,1,1,1,0,4,NA,NA,2,1,1,NA,1,3,2,2263,5,4,4,NA,"RP-RC",NA,0,1,1,NA,1,0.9583,0.9583,0.9583,1,2,NA,NA,1992,6587,1,0.833333333333333,0.5,2.33333333333333,0.75,0.333333333333333,0.666666666666667,0.5,0.5,0
"6590",1,0.4875,NA,NA,NA,NA,NA,0,0,1,2,1,1,2,0,0,0,0,NA,NA,3,4,2,1,3,NA,2,3,3,3,2,1,NA,3,2,1,1,3,2,2,1,1,50,50,50,70,70,70,85,1,50,50,50,1,0,NA,NA,NA,4,5,0,1,1,NA,NA,NA,NA,NA,5,0,1,1,0,NA,NA,NA,NA,NA,3,1,1,"FTF",1,5,3,5,0,0,0,0,0,0,0,0,0.833333333333333,0,NA,0,1,2,NA,NA,2,1,2,NA,2,3,3,2264,4,3,3,NA,"RP-DC","RP-RS",70,1,0,1,1,1.0189,1.0189,1.0189,1,1,NA,NA,1992,6590,1,0.583333333333333,0.25,2,0.25,0.333333333333333,0.444444444444445,0.5,0.5,0
"6593",1,0.2375,4,NA,NA,NA,NA,0,0,1,1,2,1,2,0,0,0,0,NA,NA,NA,NA,1,1,2,NA,1,3,2,3,3,1,2,3,3,1,1,4,5,1,0,1,50,50,50,60,60,60,70,1,70,50,50,0,0,4,3,5,2,6,0,0,1,0.666666666666667,2,6,1,7,5,1,2,0,0,1,5,5,5,5,3,3,1,"FTF",4,5,1,4,0,0,0,0,0,0,0,0,0.833333333333333,1,0,0,1,3,NA,NA,2,1,2,NA,2,4,4,2265,3,2,3,NA,"RP-RC","RP-DS",40,1,1,0,1,0.9444,0.9444,0.9444,1,1,NA,NA,1992,6593,1,0.416666666666667,0.25,2.33333333333333,0.5,0.555555555555556,0.222222222222222,0,0.5,0
"6595",1,0.55,4,NA,NA,NA,NA,0,0,1,2,2,1,3,0,0,1,0,3,6,NA,NA,1,1,NA,NA,2,NA,NA,3,3,1,1,2,3,1,1,4,4,2,0,1,85,NA,NA,85,97,15,15,1,97,70,85,0,0,5,3,3,NA,NA,0,1,0,NA,2,6,2,7,3,0,2,1,0,6,3,3,NA,NA,5,4,1,"FTF",4,5,2,5,0,0,0,0,0,0,0,1,0,NA,0,1,1,4,2,2,2,1,NA,NA,1,NA,NA,2265,4,2,2,NA,"DP-DC","DP-DS",15,0,0,0,1,1.9704,1.9704,1.9704,1,1,1,3,2008,6595,1,0.416666666666667,0.5,2.16666666666667,0.875,NA,NA,0,0.5,1
"6596",1,0.2875,5,NA,NA,NA,NA,0,1,2,2,2,1,2,0,0,1,1,4,6,3,6,1,1,1,NA,1,NA,2,2,1,1,1,3,1,2,1,1,1,1,0,1,70,70,70,85,30,50,60,1,50,50,85,NA,0,4,3,6,2,7,0,0,1,0.333333333333333,4,6,4,7,4,0,1,1,0,4,4,7,3,7,3,3,1,"FTF",5,5,1,4,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,1,NA,NA,2,2,2,NA,2,3,3,2266,4,2,4,NA,NA,NA,50,NA,0,0,1,0.9444,0.9444,0.9444,1,1,NA,NA,1992,6596,1,0.583333333333333,0.75,1.66666666666667,0.5,0.833333333333333,0.444444444444445,0,1,0
"6598",NA,0.4125,7,1,NA,NA,NA,0,1,2,2,2,1,3,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,1,1,NA,NA,NA,1,2,2,1,0,0,50,50,40,0,0,50,50,0,50,50,0,1,0,NA,NA,NA,NA,NA,0,0,0,0.5,4,4,4,4,4,0,2,0,0,NA,NA,NA,NA,NA,2,2,NA,"FTF",2,4,1,4,0,0,0,0,0,0,0,1,0.833333333333333,NA,NA,1,0,NA,NA,NA,1,2,NA,NA,1,NA,NA,2266,5,2,5,NA,NA,NA,50,NA,NA,NA,0,1.0822,1.0822,1.0822,1,NA,NA,NA,2008,6598,1,0.75,0.75,2,0.25,NA,NA,0,0.5,1
"6599",3,0.7375,3,NA,NA,NA,NA,0,1,2,2,1,2,3,0,0,1,0,3,5,3,5,1,1,4,NA,2,3,3,2,1,2,1,2,1,3,1,3,4,2,0,1,40,85,70,97,85,40,15,1,70,60,40,1,0,4,NA,2,4,2,0,1,0,0.166666666666667,3,6,4,6,3,0,2,1,0,NA,3,6,NA,NA,4,4,1,"FTF",4,4,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,2,2,1,NA,1,3,1,2267,5,4,2,NA,"DP-DC","DP-DS",60,0,0,0,1,1.1071,1.1071,1.1071,1,4,NA,NA,1992,6599,1,0.666666666666667,0.75,1.83333333333333,0.75,0.222222222222222,0.777777777777778,0,1,1
